Make,Model,Mean_Risk_Index,Model_Total_Accidents,Plane_Size
aero commander,100,0.14595959595959598,33.0,Small
aero commander,100 180,0.08750000000000001,12.0,Small
aero commander,112,0.3125,20.0,Small
aero commander,112A,0.09523809523809523,14.0,Small
aero commander,114 B,0.3,1.0,Small
aero commander,114B,0.6,1.0,Small
aero commander,200D,0.12727272727272726,11.0,Small
aero commander,500,0.21739130434782608,23.0,Small
aero commander,500 A,0.0,1.0,Small
aero commander,500 B,0.2846153846153846,13.0,Small
aero commander,500 S,0.07380952380952381,12.0,Small
aero commander,500A,0.6,3.0,Small
aero commander,500B,0.38055555555555554,9.0,Small
aero commander,500S,0.29,10.0,Small
aero commander,500U,0.15,2.0,Small
aero commander,520,0.2,1.0,Small
aero commander,560,0.2875,20.0,Small
aero commander,560 F,0.6,3.0,Small
aero commander,560A,0.44999999999999996,1.0,Small
aero commander,560E,0.05,2.0,Small
aero commander,560F,0.3,2.0,Small
aero commander,600,0.08333333333333333,2.0,Small
aero commander,680,0.18333333333333335,6.0,Small
aero commander,680 E,0.2,2.0,Small
aero commander,680 F,0.0,2.0,Small
aero commander,680 FL,0.2333333333333333,1.0,Small
aero commander,680 FPL,0.6,1.0,Small
aero commander,680E,0.39999999999999997,3.0,Small
aero commander,680FL,0.6,3.0,Small
aero commander,680FLP,0.025,1.0,Small
aero commander,680V,0.6,1.0,Small
aero commander,681,0.3,2.0,Small
aero commander,685,0.09444444444444444,6.0,Small
aero commander,690,0.1125,12.0,Small
aero commander,690A,0.3102941176470588,17.0,Small
aero commander,690B,0.32254901960784316,17.0,Small
aero commander,695,0.0,1.0,Small
aero commander,700,0.0375,2.0,Small
aero commander,AC 100,0.0,1.0,Small
aero commander,AC 100 180,0.3,1.0,Small
aero commander,AC 500A,0.6,1.0,Small
aero commander,AC 500B,0.0,1.0,Small
aero commander,AC 690,0.0,3.0,Small
aero commander,AC200D (MEYERS),0.49999999999999994,1.0,Small
aero commander,AC50,0.0,1.0,Small
aero commander,CALAIR A 9B,0.44999999999999996,2.0,Small
aero commander,CALAIR A9B,0.6,1.0,Small
aero commander,CALLAIR,0.6,1.0,Small
aero commander,CALLAIR A 9,0.3,3.0,Small
aero commander,CALLAIR A 9B,0.13,10.0,Small
aero commander,GA 500 B,0.0,1.0,Small
aero commander,S 2R,0.12142857142857143,105.0,Small
aero commander,S2R,0.09427083333333332,96.0,Small
aero commander,S2R T34,0.17777777777777776,36.0,Small
aero commander,S2R THRUSH,0.0,1.0,Small
aero commander,ST R,0.3,1.0,Small
aeronca,0 58A,0.0,1.0,Small
aeronca,0 58B,0.09999999999999999,3.0,Small
aeronca,11 AC,0.175,4.0,Small
aeronca,11AC,0.11578947368421053,57.0,Small
aeronca,11AC 991,0.0,1.0,Small
aeronca,11BC,0.08499999999999999,10.0,Small
aeronca,11CC,0.05833333333333333,6.0,Small
aeronca,15AC,0.06304347826086956,23.0,Small
aeronca,58B,0.1,1.0,Small
