Date,Year,Month,Location,Country,Injury_Severity,Damage_Type,Aircraft_Category,Make,Model,Engines,Engine_Type,Fatal_Injuries,Serious_Injuries,Minor_Injuries,Uninjured,Total_Passengers,Weather,Fatal_Injuries_Fraction,Serious_Injuries_Fraction,Minor_Injuries_Fraction,Uninjured_Fraction,Risk_Index,Plane_Size,Risk_Index_mean
1990-06-16,1990,6,"JAMAICA, NY",United States,Non-Fatal,Minor,Airplane,boeing,747 230,4.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,VMC,0.0,0.0,0.0,1.0,0.0,Medium,0.0
1990-06-17,1990,6,"TAKU, AK",United States,Non-Fatal,Minor,Airplane,cessna,206U,1.0,Reciprocating,0.0,0.0,0.0,10.0,10.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1990-10-29,1990,10,"COLUMBUS, OH",United States,Non-Fatal,Minor,Airplane,mcdonnell douglas,DC 9 31,2.0,Turbo Jet,0.0,0.0,0.0,49.0,49.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1991-10-24,1991,10,"DAYTONA BEACH, FL",United States,Non-Fatal,Minor,Airplane,piper,PA 28 R 180,1.0,Reciprocating,0.0,0.0,0.0,3.0,3.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1993-07-25,1993,7,"JAMAICA, NY",United States,Non-Fatal,Minor,Airplane,boeing,747 368,4.0,Turbo Fan,0.0,0.0,0.0,193.0,193.0,VMC,0.0,0.0,0.0,1.0,0.0,Medium,0.0
1993-07-28,1993,7,"FOND DU LAC, WI",United States,Non-Fatal,Minor,Airplane,north american,F 51,1.0,Reciprocating,0.0,0.0,0.0,5.0,5.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1994-07-31,1994,7,"READINGTON, NJ",United States,Non-Fatal,Minor,Airplane,boeing,PT 13,1.0,Reciprocating,0.0,0.0,0.0,4.0,4.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1995-07-28,1995,7,"DALLAS, TX",United States,Non-Fatal,Minor,Airplane,boeing,737 3A4,2.0,Turbo Fan,0.0,0.0,0.0,99.0,99.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1995-08-01,1995,8,"GLENDALE, AZ",United States,Non-Fatal,Minor,Airplane,north american,AT 6B,1.0,Reciprocating,0.0,0.0,0.0,3.0,3.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1996-02-20,1996,2,"FAIRBANKS, AK",United States,Non-Fatal,Minor,Airplane,boeing,757 232,2.0,Turbo Fan,0.0,0.0,0.0,91.0,91.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1996-03-23,1996,3,"NASHVILLE, TN",United States,Non-Fatal,Minor,Airplane,piper,PA 28 201,1.0,Reciprocating,0.0,0.0,0.0,5.0,5.0,VMC,0.0,0.0,0.0,1.0,0.0,Small,0.0
1996-06-06,1996,6,"SAN FRANCISCO, CA",United States,Non-Fatal,Minor,Airplane,boeing,767 223,2.0,Turbo Fan,0.0,0.0,0.0,220.0,220.0,VMC,0.0,0.0,0.0,1.0,0.0,Medium,0.0
