,Injury.Severity
0,Fatal(2)
1,Fatal(4)
2,Fatal(3)
3,Fatal(2)
4,Fatal(1)
5,Non-Fatal
6,Fatal(4)
7,Non-Fatal
8,Non-Fatal
9,Non-Fatal
10,Non-Fatal
11,Non-Fatal
12,Non-Fatal
13,Fatal(1)
14,Fatal(1)
15,Fatal(2)
16,Non-Fatal
17,Fatal(3)
18,Non-Fatal
19,Non-Fatal
20,Non-Fatal
21,Non-Fatal
22,Non-Fatal
23,Incident
24,Fatal(2)
25,Fatal(8)
26,Fatal(1)
27,Non-Fatal
28,Non-Fatal
29,Non-Fatal
30,Non-Fatal
31,Non-Fatal
32,Fatal(4)
33,Fatal(2)
34,Fatal(2)
35,Non-Fatal
36,Fatal(1)
37,Fatal(3)
38,Fatal(1)
39,Fatal(2)
40,Incident
41,Non-Fatal
42,Non-Fatal
43,Non-Fatal
44,Non-Fatal
45,Non-Fatal
46,Non-Fatal
47,Non-Fatal
48,Non-Fatal
49,Non-Fatal
50,Non-Fatal
51,Fatal(2)
52,Non-Fatal
53,Non-Fatal
54,Fatal(1)
55,Fatal(1)
56,Non-Fatal
57,Non-Fatal
58,Non-Fatal
59,Non-Fatal
60,Non-Fatal
61,Non-Fatal
62,Non-Fatal
63,Non-Fatal
64,Non-Fatal
65,Non-Fatal
66,Non-Fatal
67,Non-Fatal
68,Non-Fatal
69,Non-Fatal
70,Non-Fatal
71,Fatal(1)
72,Non-Fatal
73,Non-Fatal
74,Non-Fatal
75,Non-Fatal
76,Fatal(4)
77,Non-Fatal
78,Non-Fatal
79,Incident
80,Incident
81,Non-Fatal
82,Non-Fatal
83,Non-Fatal
84,Fatal(78)
85,Non-Fatal
86,Non-Fatal
87,Non-Fatal
88,Fatal(3)
89,Non-Fatal
90,Non-Fatal
91,Non-Fatal
92,Non-Fatal
93,Non-Fatal
94,Non-Fatal
95,Non-Fatal
96,Fatal(1)
97,Non-Fatal
98,Fatal(1)
99,Fatal(1)
100,Non-Fatal
101,Non-Fatal
102,Fatal(1)
103,Non-Fatal
104,Fatal(2)
105,Non-Fatal
106,Non-Fatal
107,Non-Fatal
108,Non-Fatal
109,Non-Fatal
110,Fatal(1)
111,Fatal(3)
112,Non-Fatal
113,Fatal(4)
114,Fatal(1)
115,Fatal(2)
116,Fatal(1)
117,Fatal(3)
118,Fatal(3)
119,Incident
120,Non-Fatal
121,Non-Fatal
122,Non-Fatal
123,Non-Fatal
124,Non-Fatal
125,Non-Fatal
126,Non-Fatal
127,Non-Fatal
128,Non-Fatal
129,Non-Fatal
130,Non-Fatal
131,Incident
132,Fatal(2)
133,Fatal(3)
134,Fatal(1)
135,Fatal(1)
136,Non-Fatal
137,Non-Fatal
138,Fatal(4)
139,Fatal(1)
140,Non-Fatal
141,Non-Fatal
142,Fatal(1)
143,Fatal(1)
144,Non-Fatal
145,Non-Fatal
146,Non-Fatal
147,Non-Fatal
148,Fatal(2)
149,Incident
150,Non-Fatal
151,Non-Fatal
152,Fatal(1)
153,Fatal(2)
154,Non-Fatal
155,Fatal(2)
156,Fatal(1)
157,Non-Fatal
158,Non-Fatal
159,Non-Fatal
160,Fatal(2)
161,Non-Fatal
162,Non-Fatal
163,Non-Fatal
164,Non-Fatal
165,Fatal(7)
166,Non-Fatal
167,Non-Fatal
168,Non-Fatal
169,Non-Fatal
170,Fatal(2)
171,Non-Fatal
172,Non-Fatal
173,Non-Fatal
174,Non-Fatal
175,Non-Fatal
176,Non-Fatal
177,Non-Fatal
178,Fatal(1)
179,Non-Fatal
180,Non-Fatal
181,Non-Fatal
182,Non-Fatal
183,Non-Fatal
184,Fatal(1)
185,Non-Fatal
186,Non-Fatal
187,Non-Fatal
188,Non-Fatal
189,Non-Fatal
190,Fatal(1)
191,Incident
192,Fatal(1)
193,Non-Fatal
194,Incident
195,Non-Fatal
196,Fatal(1)
197,Non-Fatal
198,Non-Fatal
199,Non-Fatal
